Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
United States of America,Fort Worth (TX),2024,978468,US,USA
United States of America,Austin (TX),2024,979882,US,USA
China,Benxi,2002,980069,CN,CHN
China,Linzhou,2002,982254,CN,CHN
India,Visakhapatnam,2007,982904,IN,IND
Burkina Faso,Bobo Dioulasso,2023,984603,BF,BFA
China,Yongchuan,2002,984730,CN,CHN
United States of America,Jacksonville (FL),2024,985843,US,USA
Israel,JERUSALEM,2025,987900,IL,ISR
Malawi,LILONGWE,2019,989318,MW,MWI
China,Qianjiang,2002,992438,CN,CHN
Ukraine,Odessa,2022,992874,UA,UKR
Nigeria,Kaduna,2002,993642,NG,NGA
China,Liupanshui,2002,995055,CN,CHN
China,Lianyuan,2002,996893,CN,CHN
Russian Federation,Voronezh,2013,997447,RU,RUS
India,Kota,2017,1001694,IN,IND
Mexico,Hermosillo,2024,1006739,MX,MEX
Russian Federation,Krasnoyarsk,2013,1006856,RU,RUS
Russian Federation,Perm,2013,1007272,RU,RUS
China,Fuzhou (Jiangxi),2002,1007391,CN,CHN
Indonesia,Pakanbaru,2024,1007540,ID,IDN
China,Huazhou,2002,1007796,CN,CHN
Portugal,Porto,2024,1008298,PT,PRT
Peru,Arequipa,2019,1009132,PE,PER
China,Mudanjiang,2002,1014206,CN,CHN
China,Ziyang,2002,1016034,CN,CHN
India,Madurai,2017,1017865,IN,IND
Russian Federation,Volgograd,2013,1018762,RU,RUS
Republic of Korea,Changwon,2025,1019541,KR,KOR
Türkiye,Mugla,2023,1021141,TR,TUR
China,Zhongxiang,2002,1021998,CN,CHN
China,Ezhou,2002,1023285,CN,CHN
Egypt,Shubra-El-Khema,2011,1025569,EG,EGY
Niger,NIAMEY,2016,1026848,NE,NER
India,Raipur,2017,1027264,IN,IND
Mozambique,Matola,2022,1032197,MZ,MOZ
China,Qinzhou,2002,1035504,CN,CHN
Brazil,São Luís,2024,1037775,BR,BRA
China,Gongzhuling,2002,1041735,CN,CHN
Malaysia,M.P. Kajang,2022,1047356,MY,MYS
China,Beiliu,2002,1049035,CN,CHN
Mexico,Chihuahua,2024,1049665,MX,MEX
China,Jining (Shandong),2002,1050522,CN,CHN
India,Coimbatore,2017,1050721,IN,IND
Türkiye,Denizli,2023,1051056,TR,TUR
China,Zigong,2002,1051384,CN,CHN
China,Xiangcheng,2002,1052468,CN,CHN
China,Jiangdu,2002,1053023,CN,CHN
China,Zhucheng,2002,1053695,CN,CHN
China,Zaoyang,2002,1054374,CN,CHN
India,Gwalior,2017,1054420,IN,IND
Sierra Leone,FREETOWN,2018,1055964,SL,SLE
Senegal,DAKAR,2011,1056009,SN,SEN
India,Jodhpur,2017,1056191,IN,IND
Tunisia,TUNIS,2018,1056247,TN,TUN
China,Qidong,2002,1057073,CN,CHN
China,Hanchuan,2002,1057396,CN,CHN
Netherlands (Kingdom of the),AMSTERDAM,2024,1059596,NL,NLD
Türkiye,Sakarya,2023,1060876,TR,TUR
Mexico,Morelia,2024,1062416,MX,MEX
Indonesia,Bogor,2024,1063513,ID,IDN
Mexico,Cancún,2024,1065760,MX,MEX
Mexico,Culiacán Rosales,2024,1069768,MX,MEX
China,Zhuji,2002,1070675,CN,CHN
Mexico,Netzahualcóyotl,2021,1072676,MX,MEX
India,Ranchi,2017,1073427,IN,IND
Russian Federation,Ufa,2013,1075007,RU,RUS
India,Haora,2017,1077075,IN,IND
Mozambique,MAPUTO,2022,1080277,MZ,MOZ
India,Jabalpur,2017,1081677,IN,IND
China,Changzhou,2002,1081845,CN,CHN
China,Shouguang,2002,1081991,CN,CHN
Thailand,Samut Prakan,2013,1082993,TH,THA
Germany,Köln,2024,1084831,DE,DEU
United Kingdom of Great Britain and Northern Ireland,Birmingham,2013,1085810,GB,GBR
Armenia,YEREVAN,2024,1086677,AM,ARM
China,Guangan,2002,1093103,CN,CHN
Japan,Sendai,2022,1096704,JP,JPN
China,Anqiu,2002,1096782,CN,CHN
Mexico,Mexicali,2024,1099945,MX,MEX
Russian Federation,Rostov-na-Donu,2013,1100091,RU,RUS
China,Zoucheng,2002,1101003,CN,CHN
China,Dingzhou,2002,1107903,CN,CHN
Pakistan,ISLAMABAD,2024,1108872,PK,PAK
China,Jimo,2002,1111202,CN,CHN
Türkiye,Tekirdag,2023,1113400,TR,TUR
Republic of Korea,Ulsan,2025,1113508,KR,KOR
Argentina,La Matanza,1991,1120088,AR,ARG
Colombia,Barranquilla,2020,1120103,CO,COL
China,Leshan,2002,1120158,CN,CHN
India,Navi Mumbai (New Bombay),2017,1120547,IN,IND
China,Yuzhou,2002,1122669,CN,CHN
China,Bijie,2002,1128230,CN,CHN
China,Wuxian,2002,1128429,CN,CHN
China,Macheng,2002,1129047,CN,CHN
Mexico,Saltillo,2024,1131897,MX,MEX
Türkiye,Aydin,2023,1134031,TR,TUR
Brazil,Campinas,2024,1139047,BR,BRA
Türkiye,Van,2023,1141015,TR,TUR
India,Vijayawada,2017,1143232,IN,IND
China,Huzhou,2002,1145414,CN,CHN
China,Tianshui,2002,1146986,CN,CHN
China,Rizhao,2002,1148190,CN,CHN
Russian Federation,Chelyabinsk,2013,1149829,RU,RUS
China,Chifeng,2002,1153723,CN,CHN
Canada,OTTAWA,2025,1153843,CA,CAN
Georgia,TBILISI,2021,1154314,GE,GEO
China,Yushu,2002,1155670,CN,CHN
Russian Federation,Omsk,2013,1158627,RU,RUS
Thailand,Chon Buri,2013,1158989,TH,THA
India,Amritsar,2017,1159227,IN,IND
Myanmar,NAY PYI TAW,2018,1160242,MM,MMR
India,Dhanbad,2017,1162472,IN,IND
China,Leqing,2002,1162765,CN,CHN
China,Wenling,2002,1162783,CN,CHN
China,Mianyang,2002,1162962,CN,CHN
China,Yixing,2002,1164275,CN,CHN
China,Dongtai,2002,1164653,CN,CHN
China,Lufeng,2002,1164767,CN,CHN
Algeria,Wahran (Oran),2016,1165687,DZ,DZA
India,Allahabad,2017,1168385,IN,IND
Russian Federation,Kazan,2013,1168745,RU,RUS
Russian Federation,Samara (Samarskaya oblast),2013,1170381,RU,RUS
Türkiye,Kahramanmaras,2023,1171298,TR,TUR
Mexico,Cuernavaca,2024,1171572,MX,MEX
China,Fuqing,2002,1174540,CN,CHN
India,Aurangabad (Maharashtra),2017,1175116,IN,IND
China,Jingzhou,2002,1177150,CN,CHN
China,Leiyang,2002,1180235,CN,CHN
China,Xishan,2002,1181073,CN,CHN
