Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
Republic of Korea,Gwangyang,2002,132639,KR,KOR
Philippines,San Carlos (Negros Occidental),2023,132650,PH,PHL
Venezuela (Bolivarian Republic of),Táriba,2016,132657,VE,VEN
Dominican Republic,San Francisco de Macoris,2012,132725,DO,DOM
India,North Barrackpur,2017,132806,IN,IND
India,Gondiya,2017,132813,IN,IND
Japan,Narita,2022,132906,JP,JPN
United States of America,Carrollton (TX),2024,132918,US,USA
Bolivia (Plurinational State of),Potosí,2007,132966,BO,BOL
Kenya,Garissa,2021,132997,KE,KEN
Nepal,Mechinagar,2023,133073,NP,NPL
India,Dhaulpur,2017,133075,IN,IND
Sweden,Umeå,2024,133093,SE,SWE
Iran (Islamic Republic of),Khoramshahr,2017,133097,IR,IRN
Philippines,Naga (Camarines Sur),2023,133184,PH,PHL
United States of America,Fargo (ND),2024,133188,US,USA
Russian Federation,Hasaviurt,2013,133188,RU,RUS
Brazil,Santa Cruz do Sul,2024,133230,BR,BRA
United States of America,Sterling Heights (MI),2024,133306,US,USA
United States of America,Kent (WA),2024,133378,US,USA
Bangladesh,Saidpur,2017,133433,BD,BGD
Philippines,Hagonoy,2023,133448,PH,PHL
Brazil,Jaú,2024,133497,BR,BRA
Mali,Ségou,2015,133501,ML,MLI
Japan,Ome,2022,133535,JP,JPN
Venezuela (Bolivarian Republic of),Santa Lucía,2016,133543,VE,VEN
United States of America,Lewisville (TX),2024,133553,US,USA
United States of America,Pasadena (CA),2024,133560,US,USA
France,Amiens,2025,133625,FR,FRA
Thailand,Narathiwat,2013,133718,TH,THA
India,Patan,2017,133737,IN,IND
Nepal,Tokha,2023,133755,NP,NPL
Uganda,Soroti,2024,133774,UG,UGA
Japan,Isahaya,2022,133852,JP,JPN
Philippines,Daraga (Locsin),2023,133893,PH,PHL
Brazil,Vitória de Santo Antão,2024,134084,BR,BRA
Philippines,Dumaguete,2023,134103,PH,PHL
Germany,Offenbach am Main,2024,134170,DE,DEU
Brazil,Cametá,2024,134184,BR,BRA
Switzerland,BERNE,2022,134290,CH,CHE
Romania,Sibiu,2023,134309,RO,ROU
Brazil,Salto,2024,134319,BR,BRA
Indonesia,Mojokerto,2024,134350,ID,IDN
Iran (Islamic Republic of),Miandoab,2017,134425,IR,IRN
India,Kalol,2017,134426,IN,IND
United States of America,West Valley City (UT),2024,134470,US,USA
Iran (Islamic Republic of),Yasooj,2017,134532,IR,IRN
Colombia,Fusagasugá,2020,134658,CO,COL
Japan,Inazawa,2022,134751,JP,JPN
Nigeria,Ugep,2002,134773,NG,NGA
United States of America,Meridian (ID),2024,134801,US,USA
Brazil,Caraguatatuba,2024,134873,BR,BRA
Pakistan,Shakkarpur,2000,134883,PK,PAK
United States of America,Coral Springs (FL),2024,134906,US,USA
United Kingdom of Great Britain and Northern Ireland,Perth & Kinross,2006,134949,GB,GBR
Iran (Islamic Republic of),Zabol,2017,134950,IR,IRN
Iran (Islamic Republic of),Shahreza,2017,134952,IR,IRN
India,Siwan,2017,135066,IN,IND
Iran (Islamic Republic of),Andimeshk,2017,135116,IR,IRN
Georgia,Kutaisi,2021,135201,GE,GEO
Cuba,Cienfuegos,2025,135301,CU,CUB
United States of America,New Haven (CT),2024,135319,US,USA
Türkiye,Yalova (Merkez),2023,135355,TR,TUR
India,Malerkotla,2017,135424,IN,IND
United States of America,Dayton (OH),2024,135512,US,USA
Thailand,Sa Kaeo,2013,135536,TH,THA
Philippines,Floridablanca,2023,135542,PH,PHL
United States of America,Palm Bay City (FL),2024,135566,US,USA
Malaysia,M.D. Tuaran,2022,135665,MY,MYS
Uganda,Fort Portal,2024,135702,UG,UGA
Bolivia (Plurinational State of),Tarija,2007,135783,BO,BOL
India,Mahadevapura,2007,135794,IN,IND
United Kingdom of Great Britain and Northern Ireland,North Ayrshire,2006,135817,GB,GBR
United States of America,Elizabeth (NJ),2024,135829,US,USA
China,Geermu,2002,135897,CN,CHN
United States of America,Cedar Rapids (IA),2024,135958,US,USA
Colombia,Facatativá,2020,136041,CO,COL
Philippines,Norzagaray,2023,136064,PH,PHL
Romania,Bacau,2023,136087,RO,ROU
Democratic People's Republic of Korea,Huichon,2009,136093,KP,PRK
Malaysia,M.D. Pasir Puteh,2022,136157,MY,MYS
Japan,Kisarazu,2022,136166,JP,JPN
United Kingdom of Great Britain and Northern Ireland,Gloucester,2006,136203,GB,GBR
Nepal,Kalaiya,2023,136222,NP,NPL
United States of America,Stamford (CT),2024,136226,US,USA
Brazil,Cachoeirinha,2024,136258,BR,BRA
Kenya,Mlolongo,2021,136266,KE,KEN
Brazil,Campo Largo,2024,136327,BR,BRA
Philippines,Carcar,2023,136453,PH,PHL
Malaysia,M.P. Jasin,2022,136457,MY,MYS
Gabon,Port-Gentil,2016,136462,GA,GAB
Brazil,Varginha,2024,136467,BR,BRA
India,Kamptee,2007,136491,IN,IND
Japan,Ebina,2022,136516,JP,JPN
Philippines,Nasugbu,2023,136524,PH,PHL
China,Yima,2002,136543,CN,CHN
India,Mainpuri,2017,136557,IN,IND
Mongolia,Hovsgol,2025,136640,MN,MNG
Iran (Islamic Republic of),Marivan,2017,136654,IR,IRN
United Kingdom of Great Britain and Northern Ireland,Blackburn/Darwen,2006,136655,GB,GBR
United States of America,Warren (MI),2024,136655,US,USA
Chile,Conchalí,2024,136674,CL,CHL
Philippines,Gingoog,2023,136698,PH,PHL
Algeria,Tamanrasset,2016,136822,DZ,DZA
Japan,Yaizu,2022,136845,JP,JPN
Nepal,Chandragiri,2023,136860,NP,NPL
Japan,Minoh,2022,136868,JP,JPN
Netherlands (Kingdom of the),Geleen-Sittard,2011,137071,NL,NLD
United States of America,Hampton (VA),2024,137098,US,USA
Egypt,Bilbes,2011,137182,EG,EGY
El Salvador,Ahuachapán,2021,137186,SV,SLV
India,Dehri,2017,137231,IN,IND
Philippines,Jolo,2023,137266,PH,PHL
Pakistan,Mansehra,2024,137278,PK,PAK
Rwanda,Butare,2013,137334,RW,RWA
India,Mandya,2017,137358,IN,IND
Mexico,Colimas,2011,137383,MX,MEX
India,Bankura,2017,137386,IN,IND
Philippines,La Trinidad,2023,137404,PH,PHL
India,Bheemavaram,2007,137409,IN,IND
Brazil,Teófilo Otoni,2024,137418,BR,BRA
United Kingdom of Great Britain and Northern Ireland,York,2006,137505,GB,GBR
Japan,Shunan,2022,137540,JP,JPN
Pakistan,Rajanpur,2024,137553,PK,PAK
France,Tours,2025,137658,FR,FRA
Russian Federation,Odintsovo,2013,137706,RU,RUS
Poland,Zielona Góra,2023,137781,PL,POL
Philippines,Candelaria,2023,137881,PH,PHL
Republic of Korea,Gimcheon,2025,137900,KR,KOR
Egypt,El-Aresh,2011,137944,EG,EGY
India,Srikakulam,2017,137944,IN,IND
Rwanda,Gitarama,2013,137995,RW,RWA
Bangladesh,Kishoreganj Pourasabha,2023,138063,BD,BGD
Colombia,San Andrés de Tumaco,2020,138091,CO,COL
Philippines,Dipolog,2023,138141,PH,PHL
Spain,Torrejón de Ardoz,2024,138197,ES,ESP
United Kingdom of Great Britain and Northern Ireland,Telford,2006,138241,GB,GBR
United States of America,Miramar (FL),2024,138319,US,USA
Spain,Tarragona,2024,138326,ES,ESP
United States of America,Orange (CA),2024,138337,US,USA
Chile,Macul,2024,138361,CL,CHL
United States of America,Midland City (TX),2024,138397,US,USA
Bangladesh,Satkhira Pourasabha,2023,138411,BD,BGD
India,Kolar,2017,138462,IN,IND
Japan,Kuwana,2022,138613,JP,JPN
India,Guruvayur,2007,138681,IN,IND
Guinea,Kindia,2017,138695,GN,GIN
Russian Federation,Zheleznodorozhny,2013,138814,RU,RUS
United Kingdom of Great Britain and Northern Ireland,Grimsby/Cleethorpes,2006,138842,GB,GBR
Canada,Ajax,2025,138843,CA,CAN
United States of America,Victorville City (CA),2024,138869,US,USA
Spain,Dos Hermanas,2024,138991,ES,ESP
Brazil,Balneário Camboriú,2024,139155,BR,BRA
Russian Federation,Kopeysk,2013,139161,RU,RUS
United States of America,Torrance (CA),2024,139224,US,USA
Mexico,Iguala de la Independencia,2024,139244,MX,MEX
United States of America,Fullerton (CA),2024,139250,US,USA
United Kingdom of Great Britain and Northern Ireland,Newport,2006,139298,GB,GBR
Japan,Koga,2022,139344,JP,JPN
Mexico,Moroleón Uriangato,2024,139397,MX,MEX
Philippines,Tanay,2022,139420,PH,PHL
Nigeria,Ilesha,2002,139445,NG,NGA
Portugal,Vila Franca de Xira,2024,139452,PT,PRT
Zambia,Livingstone,2014,139509,ZM,ZMB
India,Damoh,2017,139561,IN,IND
France,Brest,2025,139619,FR,FRA
Chile,Cerro Navia,2024,139632,CL,CHL
Paraguay,Limpio,2024,139652,PY,PRY
India,Valsad,2017,139764,IN,IND
Pakistan,Khushab,2024,139905,PK,PAK
Egypt,Malawe,2011,139929,EG,EGY
El Salvador,Mejicanos,2021,139945,SV,SLV
Greece,Pésterion,2014,139981,GR,GRC
Iran (Islamic Republic of),Torbat-e-heydariyeh,2017,140019,IR,IRN
Nepal,Suryabinayak,2023,140085,NP,NPL
Pakistan,Mian Channu,2024,140112,PK,PAK
El Salvador,Santa Tecla,2021,140144,SV,SLV
Japan,Ishinomaki,2022,140151,JP,JPN
India,Kumbakonam,2017,140156,IN,IND
Bangladesh,Jhenaidah Pourasabha,2023,140271,BD,BGD
Philippines,Ozamis,2023,140334,PH,PHL
Qatar,Al-Khoor,2022,140453,QA,QAT
Venezuela (Bolivarian Republic of),Anaco(F) (Capital),2016,140496,VE,VEN
Brazil,Queimados,2024,140523,BR,BRA
Switzerland,Lausanne,2022,140619,CH,CHE
Greece,Iraclion,2014,140730,GR,GRC
Philippines,Porac,2023,140751,PH,PHL
Japan,Toda,2022,140899,JP,JPN
Philippines,Tabaco,2023,140961,PH,PHL
Germany,Ingolstadt,2024,141029,DE,DEU
Hungary,Pécs,2024,141031,HU,HUN
Belarus,Borisov,2021,141061,BY,BLR
Argentina,San Fernando,1991,141063,AR,ARG
Japan,Asaka,2022,141083,JP,JPN
Cabo Verde,PRAIA,2022,141219,CV,CPV
Japan,Fukaya,2022,141268,JP,JPN
Romania,Pitesti,2023,141275,RO,ROU
Japan,Fujieda,2022,141342,JP,JPN
Brazil,Brusque,2024,141385,BR,BRA
Philippines,Bocaue,2023,141412,PH,PHL
Uganda,Hoima,2024,141442,UG,UGA
Mali,Koutiala,2015,141444,ML,MLI
Mexico,Ciudad Valles,2024,141462,MX,MEX
India,Cherthala,2007,141558,IN,IND
India,Palanpur,2017,141592,IN,IND
Iran (Islamic Republic of),Jahrom,2017,141634,IR,IRN
India,Chas,2017,141640,IN,IND
United Kingdom of Great Britain and Northern Ireland,Ipswich,2006,141658,GB,GBR
India,Mandsaur,2017,141667,IN,IND
Iran (Islamic Republic of),Kamal Shahr,2017,141669,IR,IRN
Nigeria,Jimeta,2002,141724,NG,NGA
Chile,Quinta Normal,2024,141823,CL,CHL
United Kingdom of Great Britain and Northern Ireland,Slough,2006,141848,GB,GBR
Nigeria,Damaturu,2002,141897,NG,NGA
Mexico,Juchitán,2024,141998,MX,MEX
Japan,Tsuchiura,2022,142074,JP,JPN
India,Chhatarpur,2017,142128,IN,IND
Japan,Misato,2022,142145,JP,JPN
Pakistan,Kot Addu,2024,142161,PK,PAK
United States of America,Columbia (SC),2024,142416,US,USA
Brazil,Trindade,2024,142431,BR,BRA
India,Hazaribag,2017,142489,IN,IND
Brazil,Garanhuns,2024,142506,BR,BRA
Malaysia,M.D. Baling,2022,142530,MY,MYS
Pakistan,Moro,2024,142685,PK,PAK
Russian Federation,Domodedovo,2013,142743,RU,RUS
Japan,Okinawa,2022,142752,JP,JPN
Spain,Huelva,2024,142968,ES,ESP
Spain,Lleida,2024,142990,ES,ESP
United Kingdom of Great Britain and Northern Ireland,Oxford,2006,143016,GB,GBR
India,Hathras,2017,143020,IN,IND
India,Rewari,2017,143021,IN,IND
Chile,Lampa,2024,143032,CL,CHL
Philippines,Malasiqui,2023,143094,PH,PHL
Japan,Moriguchi,2022,143096,JP,JPN
Malaysia,M.D. Kinabatangan,2022,143112,MY,MYS
Venezuela (Bolivarian Republic of),Cua,2016,143164,VE,VEN
Costa Rica,Pérez Zeledón,2025,143197,CR,CRI
India,Shillong,2017,143229,IN,IND
India,Rajendranagar,2007,143240,IN,IND
Chile,Alto Hospicio,2024,143294,CL,CHL
Mauritius,PORT LOUIS,2025,143366,MU,MUS
Philippines,Cauayan,2023,143403,PH,PHL
United States of America,Metairie (LA),2023,143507,US,USA
Bangladesh,Saidpur Pourasabha,2023,143538,BD,BGD
Türkiye,Çanakkale (Merkez),2023,143622,TR,TUR
India,Godhra,2017,143644,IN,IND
United States of America,Jackson (MS),2024,143709,US,USA
Republic of Korea,Jecheon (Chechon),2002,143710,KR,KOR
Costa Rica,Goicoechea,2025,143763,CR,CRI
Japan,Kusatsu,2022,143913,JP,JPN
Saudi Arabia,Al-Zahrani,2023,143936,SA,SAU
Venezuela (Bolivarian Republic of),Pozuelos (F) (Capital),2016,144045,VE,VEN
Canada,Waterloo,2025,144161,CA,CAN
Cameroon,Kumba,2013,144268,CM,CMR
India,Baleshwar Town,2017,144373,IN,IND
Republic of Moldova,Balti (Beltsy),2013,144507,MD,MDA
Pakistan,Lodhran,2024,144512,PK,PAK
Japan,Kakamigahara,2022,144521,JP,JPN
Pakistan,Umer Kot,2024,144558,PK,PAK
Philippines,Urdaneta,2023,144577,PH,PHL
Russian Federation,Maikop,2013,144579,RU,RUS
Russian Federation,Pyatigorsk,2013,144603,RU,RUS
Greece,Larissa,2014,144651,GR,GRC
Norway,Bergen,2024,144699,NO,NOR
Japan,Ashikaga,2022,144746,JP,JPN
United States of America,Waco (TX),2024,144816,US,USA
Portugal,Coimbra,2024,144822,PT,PRT
Russian Federation,Kolomna,2013,144838,RU,RUS
Peru,Tarapoto,2019,144839,PE,PER
Brazil,Franco da Rocha,2024,144849,BR,BRA
Philippines,Arayat,2023,144875,PH,PHL
India,Kaithal,2017,144915,IN,IND
United States of America,Thornton (CO),2024,144922,US,USA
India,Udupi,2017,144960,IN,IND
Mexico,Tecomán,2024,144973,MX,MEX
United States of America,Visalia (CA),2024,144998,US,USA
France,Le Mans,2025,145004,FR,FRA
Romania,Arad,2023,145078,RO,ROU
Brazil,Botucatu,2024,145155,BR,BRA
Sweden,Norrköping,2024,145164,SE,SWE
United Kingdom of Great Britain and Northern Ireland,Falkirk,2006,145191,GB,GBR
France,Saint-Denis (La Réunion),2012,145209,FR,FRA
Brazil,Teixeira de Freitas,2024,145216,BR,BRA
Hungary,Miskolc,2024,145248,HU,HUN
India,Tiruvannamalai,2017,145278,IN,IND
India,Ranaghat,2007,145285,IN,IND
Kazakhstan,Ekibastuz,2024,145289,KZ,KAZ
India,Abohar,2017,145302,IN,IND
El Salvador,Ilopango,2021,145315,SV,SLV
Chile,San Miguel,2024,145424,CL,CHL
India,Dibrugarh,2017,145488,IN,IND
United States of America,Pomona (CA),2024,145502,US,USA
Bosnia and Herzegovina,Zenica,1994,145517,BA,BIH
United States of America,Syracuse (NY),2024,145560,US,USA
Mexico,Cuauhtemoc,2024,145571,MX,MEX
Brazil,Paço do Lumiar,2024,145643,BR,BRA
Japan,Iruma,2022,145651,JP,JPN
United Kingdom of Great Britain and Northern Ireland,Dundee,2006,145663,GB,GBR
Chile,Punta Arenas,2024,145713,CL,CHL
China,Jinggangshan,2002,145769,CN,CHN
Thailand,Sakon Sakhon,2000,145770,TH,THA
Philippines,Calapan,2023,145786,PH,PHL
United States of America,Gainesville (FL),2024,145812,US,USA
Brazil,Paranaguá,2024,145829,BR,BRA
India,Chitradurga,2017,145853,IN,IND
Italy,Foggia,2024,146017,IT,ITA
Nigeria,Ondo,2002,146051,NG,NGA
Russian Federation,Rubtsovsk,2013,146075,RU,RUS
Mexico,Teziutlán,2024,146101,MX,MEX
United States of America,Rockford (IL),2024,146120,US,USA
India,Burari,2017,146190,IN,IND
Serbia,Kragujevac,2024,146315,RS,SRB
Ukraine,Kerch,2013,146559,UA,UKR
United States of America,McAllen (TX),2024,146593,US,USA
Uzbekistan,Almalyk,2024,146615,UZ,UZB
Ukraine,Kramatorsk,2022,146693,UA,UKR
India,Bid,2017,146709,IN,IND
United States of America,Pasadena (TX),2024,146716,US,USA
Pakistan,Jalalpur Jattan,2024,146743,PK,PAK
Thailand,Tak,2013,146769,TH,THA
Brazil,Nilópolis,2024,146774,BR,BRA
Japan,Tama,2022,146951,JP,JPN
India,Bhimavaram,2017,146961,IN,IND
Nigeria,Umuahia,2002,147167,NG,NGA
Uzbekistan,Shahrisabz,2024,147218,UZ,UZB
India,Habra,2017,147221,IN,IND
United States of America,Mesquite (TX),2024,147317,US,USA
Japan,Yonago,2022,147317,JP,JPN
France,Clermont-Ferrand,2025,147327,FR,FRA
India,Sasaram,2017,147408,IN,IND
Chile,Villa Alemana,2024,147418,CL,CHL
United States of America,Olathe (KS),2024,147461,US,USA
France,Aix-en-Provence,2025,147478,FR,FRA
Mexico,Ciudad de Villa de Alvárez,2021,147496,MX,MEX
Philippines,Mati,2023,147547,PH,PHL
India,Hajipur,2017,147688,IN,IND
Finland,Jyvaskyla,2024,147746,FI,FIN
United States of America,Savannah (GA),2024,147748,US,USA
United Kingdom of Great Britain and Northern Ireland,Dumfries & Galloway,2006,147765,GB,GBR
Brazil,Camaragibe,2024,147771,BR,BRA
Kenya,Kiambu,2021,147826,KE,KEN
Myanmar,Sittway,2018,147899,MM,MMR
Thailand,Chumphon,2013,147912,TH,THA
Dominican Republic,Higüey,2012,147978,DO,DOM
Philippines,Consolacion,2023,148012,PH,PHL
United States of America,Bridgeport (CT),2024,148028,US,USA
France,Nîmes,2025,148104,FR,FRA
United States of America,Escondido (CA),2024,148122,US,USA
Türkiye,Kirsehir (Merkez),2023,148207,TR,TUR
Italy,Cagliari,2024,148296,IT,ITA
Russian Federation,Almetievsk,2013,148384,RU,RUS
Cuba,Bayamo,2025,148681,CU,CUB
Ukraine,Melitopol,2022,148698,UA,UKR
Japan,Sayama,2022,148699,JP,JPN
Japan,Komaki,2022,148831,JP,JPN
India,Bhuj,2017,148834,IN,IND
Iran (Islamic Republic of),Marvadsht,2017,148858,IR,IRN
Canada,Kingston,2025,148869,CA,CAN
Brazil,Fazenda Rio Grande,2024,148873,BR,BRA
Philippines,Sagay City,2023,148894,PH,PHL
Chile,Melipilla,2024,148899,CL,CHL
Mali,Kayes,2015,149129,ML,MLI
Poland,Bytom,2023,149166,PL,POL
Canada,Trois-Rivières,2025,149208,CA,CAN
China,Tacheng,2002,149210,CN,CHN
India,Jamuria,2017,149220,IN,IND
Türkiye,Erzincan (Merkez),2023,149272,TR,TUR
Costa Rica,Puntarenas,2025,149287,CR,CRI
Pakistan,Killa Abdullah,2021,149330,PK,PAK
Nepal,Gokarneshwor,2023,149366,NP,NPL
Jamaica,Spanish Town,2013,149479,JM,JAM
Nepal,Tilottama,2023,149479,NP,NPL
Niger,Tahoua,2016,149498,NE,NER
Pakistan,Haroonabad,2024,149679,PK,PAK
Italy,Rimini,2024,149681,IT,ITA
United Kingdom of Great Britain and Northern Ireland,Burnley/Nelson,2006,149796,GB,GBR
Philippines,Mariveles,2023,149879,PH,PHL
Brazil,Santa Rita,2024,149910,BR,BRA
Costa Rica,Heredia,2025,149930,CR,CRI
India,Raigarh,2017,150019,IN,IND
Iran (Islamic Republic of),Shahrud,2017,150129,IR,IRN
Japan,Musashino,2022,150149,JP,JPN
Spain,Logroño,2024,150206,ES,ESP
United States of America,Naperville (IL),2024,150245,US,USA
Brazil,Toledo,2024,150470,BR,BRA
United States of America,Joliet (IL),2024,150489,US,USA
Japan,Kuki,2022,150582,JP,JPN
India,Anantnag,2017,150592,IN,IND
Colombia,Girón,2020,150610,CO,COL
Mexico,Rioverde-Ciudad Fernández,2024,150629,MX,MEX
Israel,Rehovot,2025,150650,IL,ISR
Malaysia,M.D. Papar,2022,150667,MY,MYS
Spain,Badajoz,2024,150716,ES,ESP
Malaysia,M.D. Tanah Merah,2022,150766,MY,MYS
Russian Federation,Miass,2013,150806,RU,RUS
Puerto Rico,Carolina,2025,150843,PR,PRI
Philippines,San Jose City (Nueva Ecija),2023,150917,PH,PHL
Malaysia,M.D. Keningau,2022,150927,MY,MYS
India,Hanumangarh,2017,150958,IN,IND
Philippines,Minglanilla,2023,151002,PH,PHL
Thailand,Uttaradit,2013,151047,TH,THA
Brazil,Alagoinhas,2024,151055,BR,BRA
India,Bhadravati,2017,151102,IN,IND
Pakistan,Shujabad,2024,151115,PK,PAK
India,Beawar,2017,151152,IN,IND
Pakistan,Layyah,2024,151274,PK,PAK
Sweden,Helsingborg,2024,151307,SE,SWE
Nepal,Tarakeshwor,2023,151479,NP,NPL
Nigeria,Makurdi,2002,151515,NG,NGA
United States of America,Bellevue (WA),2024,151574,US,USA
Brazil,Araucária,2024,151666,BR,BRA
Japan,Imabari,2022,151672,JP,JPN
India,Hindupur,2017,151677,IN,IND
India,Santipur,2017,151777,IN,IND
Japan,Higashimurayama,2022,151815,JP,JPN
Iran (Islamic Republic of),Gonbad-e-Kavus,2017,151910,IR,IRN
Indonesia,Blitar,2024,151960,ID,IDN
United States of America,Sunnyvale (CA),2024,151967,US,USA
India,Lakhimpur,2017,151993,IN,IND
Pakistan,Sanghar,2021,152025,PK,PAK
Brazil,Pouso Alegre,2024,152217,BR,BRA
Bangladesh,Nawabganj,2006,152223,BD,BGD
Guatemala,Quetzaltenango,2001,152223,GT,GTM
Japan,Kawanishi,2022,152321,JP,JPN
Canada,Saguenay,2025,152341,CA,CAN
Malaysia,M.P. Segamat,2022,152458,MY,MYS
Japan,Noda,2022,152638,JP,JPN
Cameroon,Ngaoundéré,2013,152698,CM,CMR
India,Porbandar,2017,152760,IN,IND
India,Barrackpur,2017,152783,IN,IND
Canada,Milton,2025,152817,CA,CAN
United States of America,Kansas City (KS),2024,152933,US,USA
Canada,St. Catharines,2025,152958,CA,CAN
China,Fukang,2002,152965,CN,CHN
India,Krishnanagar,2017,153062,IN,IND
Uzbekistan,Urgentch,2024,153124,UZ,UZB
Thailand,Surin,2013,153159,TH,THA
Philippines,Liloan,2023,153197,PH,PHL
Philippines,San Jose (Occidental Mindoro),2023,153267,PH,PHL
India,Balurghat,2017,153279,IN,IND
India,Serilingampalle,2007,153364,IN,IND
India,Karur,2007,153365,IN,IND
Bahrain,MANAMA,2004,153395,BH,BHR
Chile,San Pedro de la Paz,2024,153516,CL,CHL
Mexico,Fresnillo,2024,153589,MX,MEX
Albania,Durrës,2025,153614,AL,ALB
Chile,Independencia,2024,153624,CL,CHL
Brazil,Mogi Guaçu,2024,153658,BR,BRA
United States of America,Springfield (MA),2024,153672,US,USA
Thailand,Maha Sarakham,2013,153740,TH,THA
Russian Federation,Berezniki,2013,153806,RU,RUS
Japan,Kariya,2022,153834,JP,JPN
United States of America,Hollywood (FL),2024,153859,US,USA
Italy,Livorno,2024,153859,IT,ITA
Nepal,Birendranagar,2023,153863,NP,NPL
Japan,Ueda,2022,154055,JP,JPN
Egypt,6th of October City,2011,154093,EG,EGY
Brazil,Santana de Parnaíba,2024,154105,BR,BRA
Germany,Neuss,2024,154139,DE,DEU
Malaysia,M.D. Besut,2022,154168,MY,MYS
India,Nalgonda,2017,154326,IN,IND
Kenya,Kitengela,2021,154327,KE,KEN
Poland,Zabrze,2023,154375,PL,POL
India,Rudrapur,2017,154554,IN,IND
Austria,Salzburg,2024,154604,AT,AUT
Romania,Braila,2023,154686,RO,ROU
Germany,Paderborn,2024,154755,DE,DEU
India,Dallo Pura,2017,154791,IN,IND
Bangladesh,Bogra,2006,154807,BD,BGD
Indonesia,Pare Pare,2024,154854,ID,IDN
India,Kishangarh,2017,154886,IN,IND
India,Hassan,2017,155006,IN,IND
Philippines,Pandi,2022,155115,PH,PHL
India,Thanesar,2017,155152,IN,IND
Russian Federation,Salavat,2013,155174,RU,RUS
Democratic People's Republic of Korea,Kusong,2009,155181,KP,PRK
Pakistan,Jatoi,2024,155196,PK,PAK
China,Ruili,2002,155210,CN,CHN
United States of America,Alexandria (VA),2024,155230,US,USA
Pakistan,Jampur,2024,155243,PK,PAK
Democratic People's Republic of Korea,Kim Chaek,2009,155284,KP,PRK
United States of America,Charleston (SC),2024,155369,US,USA
United Kingdom of Great Britain and Northern Ireland,Swindon,2006,155432,GB,GBR
Ecuador,Esmeraldas,2025,155487,EC,ECU
Japan,Tochigi,2022,155549,JP,JPN
Brazil,Senador Canedo,2024,155635,BR,BRA
United States of America,Hayward (CA),2024,155675,US,USA
India,Vidisha,2017,155951,IN,IND
United States of America,Lakewood (CO),2024,155961,US,USA
Kenya,Juja,2021,155999,KE,KEN
New Zealand,Napier-Hastings,2025,156000,NZ,NZL
Italy,Ravenna,2024,156050,IT,ITA
Philippines,Capas,2023,156056,PH,PHL
Zambia,Luanshya,2014,156059,ZM,ZMB
Thailand,Phrae,2013,156099,TH,THA
Nigeria,Ado-Ekiti,2002,156122,NG,NGA
Russian Federation,Elektrostal,2013,156136,RU,RUS
Spain,Marbella,2024,156153,ES,ESP
State of Palestine,Nablus,2020,156156,PS,PSE
Bangladesh,Bhairab Pourasabha,2023,156297,BD,BGD
India,Pathankot,2017,156306,IN,IND
Philippines,Danao City,2023,156321,PH,PHL
Venezuela (Bolivarian Republic of),Carúpano,2016,156380,VE,VEN
United States of America,Paterson (NJ),2024,156452,US,USA
Brazil,Rio das Ostras,2024,156491,BR,BRA
Pakistan,Swabi,2024,156496,PK,PAK
United States of America,Macon-Bibb (GA),2024,156512,US,USA
India,Saharsa,2017,156540,IN,IND
Japan,Hitachinaka,2022,156581,JP,JPN
Republic of Korea,Andong,2025,156743,KR,KOR
Lithuania,Klaipeda,2024,156745,LT,LTU
Colombia,Florencia,2020,156789,CO,COL
Portugal,Guimarães,2024,156789,PT,PRT
Russian Federation,Anapa,2013,156928,RU,RUS
France,Villeurbanne,2025,156928,FR,FRA
Colombia,Yopal,2020,156942,CO,COL
Brazil,Caxias,2024,156973,BR,BRA
Guinea,Dubreka,2017,157017,GN,GIN
Pakistan,Arif Wala,2024,157063,PK,PAK
India,Erode,2017,157101,IN,IND
France,Angers,2025,157175,FR,FRA
Nigeria,Owo,2002,157181,NG,NGA
Malaysia,M.D. Bachok,2022,157291,MY,MYS
China,Genhe,2002,157337,CN,CHN
Germany,Herne,2024,157368,DE,DEU
Colombia,Piedecuesta,2020,157425,CO,COL
Germany,Regensburg,2024,157443,DE,DEU
France,Grenoble,2025,157477,FR,FRA
Egypt,Banha,2011,157701,EG,EGY
Brazil,Itapetininga,2024,157790,BR,BRA
Bangladesh,Dinajpur,2006,157914,BD,BGD
Ecuador,San Miguel de Ibarra,2025,157941,EC,ECU
Togo,Kara,2025,158090,TG,TGO
United Kingdom of Great Britain and Northern Ireland,Mansfield,2006,158114,GB,GBR
Spain,San Cristóbal de La Laguna,2023,158117,ES,ESP
Malaysia,M.P. Dungun,2022,158128,MY,MYS
Chile,Talcahuano,2024,158167,CL,CHL
Brazil,Abaetetuba,2024,158188,BR,BRA
United Kingdom of Great Britain and Northern Ireland,Warrington,2006,158195,GB,GBR
Philippines,Ilagan,2023,158218,PH,PHL
Pakistan,Jamshoro,2021,158239,PK,PAK
United States of America,Surprise (AZ),2024,158285,US,USA
Japan,Ogaki,2022,158286,JP,JPN
Democratic People's Republic of Korea,Rason,2009,158337,KP,PRK
United States of America,Denton (TX),2024,158349,US,USA
Brazil,Itapecerica da Serra,2024,158522,BR,BRA
Philippines,Cadiz,2023,158544,PH,PHL
India,Batala,2017,158621,IN,IND
Brazil,Atibaia,2024,158647,BR,BRA
Russian Federation,Nakhodka,2013,158649,RU,RUS
